Permit Number,Permit Type,Permit Type Definition,Permit Creation Date,Block,Lot,Street Number,Street Number Suffix,Street Name,Street Suffix,Unit,Unit Suffix,Description,Current Status,Current Status Date,Filed Date,Issued Date,Completed Date,First Construction Document Date,Structural Notification,Number of Existing Stories,Number of Proposed Stories,Voluntary Soft-Story Retrofit,Fire Only Permit,Permit Expiration Date,Estimated Cost,Revised Cost,Existing Use,Existing Units,Proposed Use,Proposed Units,Plansets,TIDF Compliance,Existing Construction Type,Existing Construction Type Description,Proposed Construction Type,Proposed Construction Type Description,Site Permit,Supervisor District,Neighborhoods - Analysis Boundaries,Zipcode,Location,Record ID
201408133775,1,new construction,08/13/2014,8715,004,1000,,03rd,St,,,"to erect 16 stories, no basement, 198 residential apartment, office, retail & parking building.
** maher: compliance with ordinance no# 155-13 required **",complete,11/20/2020,08/13/2014,08/04/2015,11/20/2020,11/19/2020,,,16,,,07/03/2021,80000000,86000000,,,apartments,198,2,,,,1,constr type 1,Y,6,Mission Bay,94158,POINT (-122.39051505054373 37.77524190438379),1352628500321
201408133730,1,new construction,08/13/2014,0156,036,160,,Bernard,St,,,erect 4 stories for  2 dwelling units.,complete,06/03/2019,08/13/2014,01/13/2017,06/03/2019,05/05/2017,,,4,,,12/29/2019,675000,1105350,,,2 family dwelling,2,2,,,,3,constr type 3,Y,3,Nob Hill,94109,POINT (-122.41605980359152 37.79632821440753),1352144497456
201409055492,2,new construction wood frame,09/05/2014,1456,023,6044,,Geary,Bl,,,"to erect 4 stories, 3 units condominium building and one retail.",complete,09/29/2017,09/05/2014,01/14/2016,09/29/2017,04/27/2016,,,4,,,12/29/2018,850000,1150000,,,apartments,3,2,,,,5,wood frame (5),Y,1,Outer Richmond,94121,POINT (-122.4844822008346 37.78041298709303),1409047505668
201409055492,2,new construction wood frame,09/05/2014,1456,023,6046,,Geary,Bl,,,"to erect 4 stories, 3 units condominium building and one retail.",complete,09/29/2017,09/05/2014,01/14/2016,09/29/2017,04/27/2016,,,4,,,12/29/2018,850000,1150000,,,apartments,3,2,,,,5,wood frame (5),Y,1,Outer Richmond,94121,POINT (-122.4844822008346 37.78041298709303),1409048505666
201409055492,2,new construction wood frame,09/05/2014,1456,023,6048,,Geary,Bl,,,"to erect 4 stories, 3 units condominium building and one retail.",complete,09/29/2017,09/05/2014,01/14/2016,09/29/2017,04/27/2016,,,4,,,12/29/2018,850000,1150000,,,apartments,3,2,,,,5,wood frame (5),Y,1,Outer Richmond,94121,POINT (-122.4844822008346 37.78041298709303),1409049505669
201410017778,2,new construction wood frame,10/01/2014,5744,016,339,,Crescent,Av,,,"to erect 3 stories, no basement, single family dwelling.",complete,06/07/2017,10/01/2014,05/17/2016,06/07/2017,09/27/2016,,,3,,,05/02/2019,400000,780000,,,1 family dwelling,1,2,,,,5,wood frame (5),Y,9,Bernal Heights,94110,POINT (-122.41790542858917 37.73516711974584),1357408188361
201410038023,2,new construction wood frame,10/03/2014,3116,006A,410,,Hearst,Av,,,to erect 2 stories of 1 family dwelling,complete,05/08/2017,10/03/2014,06/22/2016,05/08/2017,07/26/2016,,,2,,,06/07/2019,330000,400000,,,1 family dwelling,1,2,,,,5,wood frame (5),Y,7,West of Twin Peaks,94112,POINT (-122.44698655763818 37.73086240101234),1440163507627
201410108600,2,new construction wood frame,10/10/2014,3532,048,44,,Woodward,St,,,"construct 4-story, 3-units residential condo.",complete,10/19/2018,10/10/2014,10/17/2016,10/19/2018,01/10/2017,,,4,,,10/02/2019,775000,1100000,,,apartments,3,2,,,,5,wood frame (5),Y,9,Mission,94103,POINT (-122.42104845818142 37.76914107954839),1358521497540
201410108646,2,new construction wood frame,10/10/2014,3510,028,949,,Natoma,St,,,erect a four story six residential type 5a const dwelling building. compliance w/ ordinance no. 156-13 is not required.,complete,06/18/2018,10/10/2014,08/02/2016,06/18/2018,12/30/2016,,,4,,,07/18/2019,1400000,1600000,,,apartments,6,2,,,,5,wood frame (5),Y,6,South of Market,94103,POINT (-122.41535783341419 37.77390856894081),1358581501329
201410158900,2,new construction wood frame,10/15/2014,1355,004,19,V,Arguello,Bl,,,"erect 3 stories of one single family. 
* maher: compliance with ordinance no# 155-13 required; route to health *",complete,08/03/2018,10/15/2014,10/28/2016,08/03/2018,12/29/2016,,,3,,,10/13/2019,673090,1065088,,,1 family dwelling,1,2,,,,5,wood frame (5),Y,2,Inner Richmond,94118,POINT (-122.45982181693694 37.78912888773167),135891896618
201410169094,2,new construction wood frame,10/16/2014,7536,010,628,,29th,St,,,erect a one story garage & one playroom at front.,issued,10/03/2016,10/16/2014,10/03/2016,,,,,2,,,09/18/2019,115000,172850,,,1 family dwelling,1,2,,,,5,wood frame (5),Y,8,Noe Valley,94131,POINT (-122.43431853566207 37.74348265980293),1359171228022
201410169154,1,new construction,10/16/2014,6506,032,4171,,24th,St,,,"construct new 4 stories, 1 basement, 5 units multi-family residence.",complete,04/23/2018,10/16/2014,06/22/2016,04/23/2018,08/22/2016,,,4,,,06/07/2019,1000000,1750000,,,apartments,5,2,,,,3,constr type 3,Y,8,Noe Valley,94114,POINT (-122.43553887374443 37.7509639007955),1359255205512
201410179280,1,new construction,10/17/2014,1439,021,4334,,Geary,Bl,,,"construct (n) 4-story, 1-basement mixed use. 1 commeercial retail & 6 multi family residence.",complete,08/08/2019,10/17/2014,02/25/2016,08/08/2019,10/24/2016,,,4,,,01/24/2022,1000000,3500000,,,apartments,6,2,,,,3,constr type 3,Y,1,Inner Richmond,94118,POINT (-122.46600029406278 37.781279770180376),135943699803
201410229565,2,new construction wood frame,10/22/2014,2754,052,162,,Grand View,Av,,,"(front building) to erect 3 stories of 1 family dwelling. shoring, excavation and foundation are under separate permit.",expired,08/27/2021,10/22/2014,03/15/2016,,11/22/2017,,,3,,,02/28/2019,780000,970000,,,1 family dwelling,1,2,,,,5,wood frame (5),Y,8,Twin Peaks,94131,POINT (-122.44062118737156 37.75550596928515),1359829501081
201410229570,2,new construction wood frame,10/22/2014,2754,052,162,A,Grand View,Av,,,"(rear building) to erect 3 stories of 1 family dwelling. shoring, excavation & foundation are under separate permit.",expired,08/27/2021,10/22/2014,03/15/2016,,11/22/2017,,,2,,,02/28/2019,500000,500000,,,1 family dwelling,1,2,,,,5,wood frame (5),Y,8,Twin Peaks,94131,POINT (-122.44062118737156 37.75550596928515),1414668506058
201410280037,2,new construction wood frame,10/28/2014,2764,010,268,,Grand View,Av,,,"construct 2-story, 2 basements, type vb, single family residence with garage",complete,03/06/2020,10/28/2014,12/21/2016,03/06/2020,06/26/2017,,,2,,,12/06/2019,600000,750000,,,1 family dwelling,1,2,,,,5,wood frame (5),Y,8,Twin Peaks,94131,POINT (-122.44152872283917 37.75394085882437),1360439143538
201411030494,2,new construction wood frame,11/03/2014,5386,039,2008,A,Keith,St,,,"construct (n) 3-stories, no basement, single family residence.",issued,02/01/2016,11/03/2014,02/01/2016,,01/31/2017,,,3,,,01/16/2019,300000,550000,,,1 family dwelling,1,2,,,,5,wood frame (5),Y,10,Bayview Hunters Point,94124,POINT (-122.3903849320076 37.72860810444993),1361057495477
201411040616,2,new construction wood frame,11/04/2014,6738,020,831,,Chenery,St,,,construct (n) 3-story single family residence.,issued,04/25/2016,11/04/2014,04/25/2016,,12/05/2016,,,3,,,04/10/2019,725000,980000,,,1 family dwelling,1,2,,,,5,wood frame (5),Y,8,Glen Park,94131,POINT (-122.4361980926643 37.734672539890255),1361235211836
201411101145,1,new construction,11/10/2014,3730,292,1140,,Folsom,St,,,"erect 6-story, 1 basement, type 1, 3, 5, retail, parking, 112 residential units building. compliance w/ oridinance no 155-13 exempted.",complete,12/07/2017,11/10/2014,12/30/2015,12/07/2017,05/20/2016,,,6,,,11/28/2021,16385000,17450000,,,apartments,112,2,,,,1,constr type 1,Y,6,South of Market,94103,POINT (-122.40918602458665 37.77637466157768),1361901165252
201411191947,2,new construction wood frame,11/19/2014,5618,007,116,,Elsie,St,,,"to erect 4 stories, no basement, single family residence.",complete,11/27/2018,11/19/2014,08/02/2016,11/27/2018,10/31/2016,,,4,,,07/18/2019,400000,687500,,,1 family dwelling,1,2,,,,5,wood frame (5),Y,9,Bernal Heights,94110,POINT (-122.41789962530908 37.742822794837195),1432266507007
201412012693,2,new construction wood frame,12/01/2014,6521,025,50,,Lucky,St,,,construct (n) 4-story single family dwelling residence.,complete,02/06/2018,12/01/2014,08/25/2016,02/06/2018,10/07/2016,,,4,,,08/10/2019,800000,570000,,,1 family dwelling,1,2,,,,5,wood frame (5),Y,9,Mission,94110,POINT (-122.41362854159969 37.751297822701275),1435139507166
201412012684,2,new construction wood frame,12/01/2014,5577,013,29,,Joy,St,,,"to erect 3 stories, 1 basement, single family dwelling.",complete,11/21/2017,12/01/2014,02/02/2016,11/21/2017,03/16/2016,,,3,,,01/17/2019,500000,575000,,,1 family dwelling,1,2,,,,5,wood frame (5),Y,9,Bernal Heights,94110,POINT (-122.40711925485402 37.74374895626458),1363854184462
201412113579,1,new construction,12/11/2014,3594,123,835,,South Van Ness,Av,,,"to erect 4 stories, no basement, type 3a, 3 dwelling units building.",complete,03/01/2019,12/11/2014,10/23/2017,03/01/2019,11/17/2017,,,4,,,10/07/2020,1500000,1500000,,,apartments,3,2,,,,3,constr type 3,Y,9,Mission,94110,POINT (-122.41661840704501 37.75983858918234),1438950505264
201412113579,1,new construction,12/11/2014,3594,123,833,,South Van Ness,Av,,,"to erect 4 stories, no basement, type 3a, 3 dwelling units building.",complete,03/01/2019,12/11/2014,10/23/2017,03/01/2019,11/17/2017,,,4,,,10/07/2020,1500000,1500000,,,apartments,3,2,,,,3,constr type 3,Y,9,Mission,94110,POINT (-122.41661840704501 37.75983858918234),1484311510046
201412113579,1,new construction,12/11/2014,3594,123,831,,South Van Ness,Av,,,"to erect 4 stories, no basement, type 3a, 3 dwelling units building.",complete,03/01/2019,12/11/2014,10/23/2017,03/01/2019,11/17/2017,,,4,,,10/07/2020,1500000,1500000,,,apartments,3,2,,,,3,constr type 3,Y,9,Mission,94110,POINT (-122.41661840704501 37.75983858918234),1484312510047
201412113580,2,new construction wood frame,12/11/2014,4591C,165,77,,Kirkwood,Av,,,"erect 3-story, type 5-b, no basement,  single family dwelling.",complete,11/13/2019,12/11/2014,10/07/2016,11/13/2019,05/15/2017,,,3,,,09/06/2022,3600000,498485,,,1 family dwelling,1,2,,,,5,wood frame (5),Y,10,Bayview Hunters Point,94124,POINT (-122.3709627342148 37.72713863584828),1364975502269
201412113582,2,new construction wood frame,12/11/2014,4591C,165,53,,Kirkwood,Av,,,"erect 3-story, type 5-b, no basement,  single family dwelling.",complete,11/13/2019,12/11/2014,10/07/2016,11/13/2019,05/15/2017,,,3,,,09/06/2022,5600000,498485,,,1 family dwelling,1,2,,,,5,wood frame (5),Y,10,Bayview Hunters Point,94124,POINT (-122.3709627342148 37.72713863584828),1364981502258
201412123652,2,new construction wood frame,12/12/2014,1067,009,37,,Blake,St,0,,"construct new 4-story, 1 basement, type 5-a, 2-units resedential bldg.",complete,08/31/2018,12/12/2014,01/13/2017,08/31/2018,01/12/2017,,,4,,,12/29/2019,850000,1674408,,,2 family dwelling,2,2,,,,5,wood frame (5),Y,2,Presidio Heights,94118,POINT (-122.45164926613523 37.783058177131934),1365073393220
201412163783,2,new construction wood frame,12/16/2014,0025,024,3000,,Larkin,St,,,contruct (n) 4-story mixed-used building (commercial & residential),issued,02/11/2016,12/16/2014,02/11/2016,,,,,4,,,01/10/2022,2500000,2500000,,,apartments,5,2,,,,5,wood frame (5),Y,2,Russian Hill,94109,POINT (-122.42181679903504 37.80574956271426),1410324347385
201412163783,2,new construction wood frame,12/16/2014,0025,024,3012,,Larkin,St,,,contruct (n) 4-story mixed-used building (commercial & residential),issued,02/11/2016,12/16/2014,02/11/2016,,,,,4,,,01/10/2022,2500000,2500000,,,apartments,5,2,,,,5,wood frame (5),Y,2,Russian Hill,94109,POINT (-122.42181679903504 37.80574956271426),1411598505757
201412163783,2,new construction wood frame,12/16/2014,0025,024,898,,North Point,St,,,contruct (n) 4-story mixed-used building (commercial & residential),issued,02/11/2016,12/16/2014,02/11/2016,,,,,4,,,01/10/2022,2500000,2500000,,,apartments,5,2,,,,5,wood frame (5),Y,2,Russian Hill,94109,POINT (-122.42181679903504 37.80574956271426),1411599505756
201412163796,2,new construction wood frame,12/16/2014,4591D,131,1,,Earl,St,,,"bldg 5: construct new 3 stories, no basement, 10 units residential over garage.
** maher: compliance with ordinance no# 155-13 not required **",issued,09/21/2015,12/16/2014,09/21/2015,,,,,3,,,08/20/2021,4400000,4400000,,,apartments,10,2,,,,5,wood frame (5),Y,10,Bayview Hunters Point,94124,POINT (-122.37497470840634 37.72762845041594),1365672502419
201412163800,2,new construction wood frame,12/16/2014,4591D,131,1,,Earl,St,,,"bldg 1: construct (n) 4-story, 18 units residential over garage.",issued,09/21/2015,12/16/2014,09/21/2015,,,,,4,,,08/20/2021,7000000,7000000,,,apartments,18,2,,,,5,wood frame (5),Y,10,Bayview Hunters Point,94124,POINT (-122.37497470840634 37.72762845041594),1365666502419
201412163803,2,new construction wood frame,12/16/2014,4591D,131,1,,Earl,St,,,"bldg 2: construct (n) 3-story, 8 units residential over garage.",issued,09/21/2015,12/16/2014,09/21/2015,,,,,3,,,08/20/2021,3500000,3500000,,,apartments,8,2,,,,5,wood frame (5),Y,10,Bayview Hunters Point,94124,POINT (-122.37497470840634 37.72762845041594),1365674502419
201412163806,2,new construction wood frame,12/16/2014,4591D,131,1,,Earl,St,,,"bldg 3: construct new 3 stories, no basement, 11 units residential over garage.
** maher: compliance with ordinance no# 155-13 not required **",issued,09/21/2015,12/16/2014,09/21/2015,,,,,3,,,08/20/2021,5000000,5000000,,,apartments,11,2,,,,5,wood frame (5),Y,10,Bayview Hunters Point,94124,POINT (-122.37497470840634 37.72762845041594),1365664502419
201412184051,2,new construction wood frame,12/18/2014,1462,031,460,,31st,Av,,,"to erect 4 stories, 1 basement, 2 families dwelling bldg.",complete,06/11/2019,12/18/2014,10/06/2016,06/11/2019,05/10/2017,,,4,,,09/21/2019,750000,1418000,,,2 family dwelling,2,2,,,,5,wood frame (5),Y,1,Outer Richmond,94121,POINT (-122.49088712784142 37.780629380074544),1440063100710
201412184051,2,new construction wood frame,12/18/2014,1462,031,458,,31st,Av,,,"to erect 4 stories, 1 basement, 2 families dwelling bldg.",complete,06/11/2019,12/18/2014,10/06/2016,06/11/2019,05/10/2017,,,4,,,09/21/2019,750000,1418000,,,2 family dwelling,2,2,,,,5,wood frame (5),Y,1,Outer Richmond,94121,POINT (-122.49088712784142 37.780629380074544),1440061507625
201412194190,2,new construction wood frame,12/19/2014,1383,004,127,,23rd,Av,,,construct (n) 3-story single family residence.,complete,02/22/2018,12/19/2014,06/30/2016,02/22/2018,08/18/2016,,,3,,,06/15/2019,550000,670000,,,1 family dwelling,1,2,,,,5,wood frame (5),Y,1,Outer Richmond,94121,POINT (-122.48329327571952 37.78527321027664),136574897757
201412234391,2,new construction wood frame,12/23/2014,5557,021,37,,Rutledge,St,,,"to erect 4 stories, 1 basement, type vb, single family residence.",complete,08/07/2019,12/23/2014,03/13/2017,08/07/2019,09/13/2017,,,4,,,02/26/2020,350000,610000,,,1 family dwelling,1,2,,,,5,wood frame (5),Y,9,Bernal Heights,94110,POINT (-122.40624104583844 37.74502240996594),1366002184349
201412234394,2,new construction wood frame,12/23/2014,5557,022,35,,Rutledge,St,,,"to erect 3 stories, no basement, type vb, single family residence.",complete,08/23/2019,12/23/2014,03/13/2017,08/23/2019,09/13/2017,,,3,,,02/26/2020,350000,504000,,,1 family dwelling,1,2,,,,5,wood frame (5),Y,9,Bernal Heights,94110,POINT (-122.40615856098398 37.74500182180901),1366011502558
201412234418,1,new construction,12/23/2014,3737,012,245,,01st,St,,,"to erect 56 stories tower, 2.5 basement, 9 stories element high rise building, with 546 units residential, retail & parking.
** maher: compliance with ordinance no# 155-13 requied; route to dph **",complete,04/09/2020,12/23/2014,12/10/2015,04/09/2020,03/06/2019,,,56,,,11/08/2021,175000000,207680000,,,apartments,546,2,,,,1,constr type 1,Y,6,Financial District/South Beach,94105,POINT (-122.39459359663698 37.78790001617582),1366045165659
201412294587,1,new construction,12/29/2014,3732,035,483,,Clementina,St,,,"erect 8-story, 32 condo units above parking & commercial retail building. maher n/a.",issued,02/27/2019,12/29/2014,02/27/2019,,,,,8,,,01/26/2025,8500000,12700000,,,apartments,33,2,,,,1,constr type 1,Y,6,South of Market,94103,POINT (-122.40557140551746 37.779162093526566),1366257494370
201412294587,1,new construction,12/29/2014,3732,152,976,,Folsom,St,,,"erect 8-story, 32 condo units above parking & commercial retail building. maher n/a.",issued,02/27/2019,12/29/2014,02/27/2019,,,,,8,,,01/26/2025,8500000,12700000,,,apartments,33,2,,,,1,constr type 1,Y,6,South of Market,94103,POINT (-122.40528548527914 37.77907886211608),1366258165507
201412294587,1,new construction,12/29/2014,3732,028,980,,Folsom,St,,,"erect 8-story, 32 condo units above parking & commercial retail building. maher n/a.",issued,02/27/2019,12/29/2014,02/27/2019,,,,,8,,,01/26/2025,8500000,12700000,,,apartments,33,2,,,,1,constr type 1,Y,6,South of Market,94103,POINT (-122.40536410132302 37.77901662534271),1542388514031
201501145725,2,new construction wood frame,01/14/2015,4591C,011,500,,Hudson,Av,,,"erect 3-story, type 5-b, no basement,  single family dwelling.",complete,08/07/2019,01/14/2015,10/07/2016,08/07/2019,05/15/2017,,,3,,,09/06/2022,5200000,498485,,,1 family dwelling,1,2,,,,5,wood frame (5),Y,10,Bayview Hunters Point,94124,POINT (-122.36782572037154 37.72869359181037),1367921500211
201501145722,2,new construction wood frame,01/14/2015,4591C,143,3,,Kirkwood,Av,,,"erect 3-story, type 5-b, no basement,  single family dwelling.",complete,12/27/2019,01/14/2015,10/07/2016,12/27/2019,05/15/2017,,,3,,,09/06/2022,6700000,498485,,,1 family dwelling,1,2,,,,5,wood frame (5),Y,10,Bayview Hunters Point,94124,POINT (-122.36949533986937 37.72669160267293),1367904502674
201501145723,2,new construction wood frame,01/14/2015,4591C,034,580,,Hudson,Av,,,"to erect 3 stories, no basement, town home residential dwelling. change scope of work from condo to residential dwelling on 12/15/2015. chnage to r3 3/2016",complete,01/29/2020,01/14/2015,10/07/2016,01/29/2020,05/15/2017,,,3,,,09/06/2022,3300000,498485,,,1 family dwelling,1,2,,,,5,wood frame (5),Y,10,Bayview Hunters Point,94124,POINT (-122.36908138485455 37.72940707908032),1367910500169
201501145724,2,new construction wood frame,01/14/2015,4591C,022,540,,Hudson,Av,,,"erect 3-story, type 5-b, no basement,  single family dwelling.",complete,08/09/2019,01/14/2015,10/07/2016,08/09/2019,05/15/2017,,,3,,,09/06/2022,5700000,498485,,,1 family dwelling,1,2,,,,5,wood frame (5),Y,10,Bayview Hunters Point,94124,POINT (-122.36843597369943 37.72904034978389),1367916500222
201501216197,2,new construction wood frame,01/21/2015,7331,169,160,,Summit,Wy,,,"type a - erect 3 story, type 5, 1 basement, 2 dwelling units building.",complete,11/23/2015,01/21/2015,04/10/2015,11/23/2015,,,,3,,,03/25/2018,702500,702500,,,2 family dwelling,2,2,,,,5,wood frame (5),,7,Lakeshore,94132,POINT (-122.47592564940874 37.71557281774386),1368344501176
201501216197,2,new construction wood frame,01/21/2015,7331,170,162,,Summit,Wy,,,"type a - erect 3 story, type 5, 1 basement, 2 dwelling units building.",complete,11/23/2015,01/21/2015,04/10/2015,11/23/2015,,,,3,,,03/25/2018,702500,702500,,,2 family dwelling,2,2,,,,5,wood frame (5),,7,Lakeshore,94132,POINT (-122.47592564940874 37.71557281774386),1368345501174
201501216198,2,new construction wood frame,01/21/2015,7331,171,166,,Summit,Wy,,,"type a - erect 3 story, type 5, 1 basement, 2 dwelling units building.",complete,12/11/2015,01/21/2015,04/10/2015,12/11/2015,,,,3,,,03/25/2018,702500,702500,,,2 family dwelling,2,2,,,,5,wood frame (5),,7,Lakeshore,94132,POINT (-122.47601631642215 37.71557924883432),1368350501172
201501216198,2,new construction wood frame,01/21/2015,7331,172,168,,Summit,Wy,,,"type a - erect 3 story, type 5, 1 basement, 2 dwelling units building.",complete,12/11/2015,01/21/2015,04/10/2015,12/11/2015,,,,3,,,03/25/2018,702500,702500,,,2 family dwelling,2,2,,,,5,wood frame (5),,7,Lakeshore,94132,POINT (-122.47601631642215 37.71557924883432),1368351501170
201501216199,2,new construction wood frame,01/21/2015,7331,173,170,,Summit,Wy,,,"type a - erect 3 story, type 5, 1 basement, 2 dwelling units building.",complete,12/17/2015,01/21/2015,04/10/2015,12/17/2015,,,,3,,,03/25/2018,702500,702500,,,2 family dwelling,2,2,,,,5,wood frame (5),,7,Lakeshore,94132,POINT (-122.47610698288426 37.71558567983377),1368355501183
201501216199,2,new construction wood frame,01/21/2015,7331,174,172,,Summit,Wy,,,"type a - erect 3 story, type 5, 1 basement, 2 dwelling units building.",complete,12/17/2015,01/21/2015,04/10/2015,12/17/2015,,,,3,,,03/25/2018,702500,702500,,,2 family dwelling,2,2,,,,5,wood frame (5),,7,Lakeshore,94132,POINT (-122.47610698288426 37.71558567983377),1368356501187
201501216210,2,new construction wood frame,01/21/2015,7331,077,285,,Summit,Wy,,,"type b - erect 2-story, type 5, 1 basement, 1 dwelling unit building.",complete,01/20/2016,01/21/2015,04/10/2015,01/20/2016,,,,2,,,03/25/2018,380800,380800,,,1 family dwelling,1,2,,,,5,wood frame (5),,7,Lakeshore,94132,POINT (-122.47610308348766 37.71503421920892),1368357498376
201501216188,2,new construction wood frame,01/21/2015,7331,167,156,,Summit,Wy,,,"type a - erect 3 story, type 5, 1 basement, 2 dwelling units building.",complete,11/23/2015,01/21/2015,04/10/2015,11/23/2015,,,,3,,,03/25/2018,702500,702500,,,2 family dwelling,2,2,,,,5,wood frame (5),,7,Lakeshore,94132,POINT (-122.475834982411 37.7155663865836),1368327501171
201501216188,2,new construction wood frame,01/21/2015,7331,168,158,,Summit,Wy,,,"type a - erect 3 story, type 5, 1 basement, 2 dwelling units building.",complete,11/23/2015,01/21/2015,04/10/2015,11/23/2015,,,,3,,,03/25/2018,702500,702500,,,2 family dwelling,2,2,,,,5,wood frame (5),,7,Lakeshore,94132,POINT (-122.475834982411 37.7155663865836),1368328501178
201501216213,2,new construction wood frame,01/21/2015,7331,078,287,,Summit,Wy,,,"type b - erect 2-story, type 5, 1 basement, 1 dwelling unit building.",complete,01/19/2016,01/21/2015,04/10/2015,01/19/2016,,,,2,,,03/25/2018,380800,380800,,,1 family dwelling,1,2,,,,5,wood frame (5),,7,Lakeshore,94132,POINT (-122.47602200994339 37.715031200594666),1368361498375
201501216214,2,new construction wood frame,01/21/2015,7331,079,289,,Summit,Wy,,,"type b - erect 2-story, type 5, 1 basement, 1 dwelling unit building.",complete,01/14/2016,01/21/2015,04/10/2015,01/14/2016,,,,2,,,03/25/2018,380800,380800,,,1 family dwelling,1,2,,,,5,wood frame (5),,7,Lakeshore,94132,POINT (-122.47594361290908 37.71502638286432),1368364498374
201501216215,2,new construction wood frame,01/21/2015,7331,225,151,,Summit,Wy,,,"type c - erect 4-story, type 5, 1 basement, 2 dwelling units building.",complete,12/18/2015,01/21/2015,04/10/2015,12/18/2015,,,,4,,,03/25/2018,800320,800320,,,2 family dwelling,2,2,,,,5,wood frame (5),,7,Lakeshore,94132,POINT (-122.47591365195949 37.71523688430453),1368365501230
201501216215,2,new construction wood frame,01/21/2015,7331,226,153,,Summit,Wy,,,"type c - erect 4-story, type 5, 1 basement, 2 dwelling units building.",complete,12/18/2015,01/21/2015,04/10/2015,12/18/2015,,,,4,,,03/25/2018,800320,800320,,,2 family dwelling,2,2,,,,5,wood frame (5),,7,Lakeshore,94132,POINT (-122.47591365195949 37.71523688430453),1368366501228
201501216219,2,new construction wood frame,01/21/2015,7331,227,155,,Summit,Wy,,,"type c - erect 4-story, type 5, 1 basement, 2 dwelling units building.",complete,12/22/2015,01/21/2015,04/10/2015,12/22/2015,,,,4,,,03/25/2018,800320,800320,,,2 family dwelling,2,2,,,,5,wood frame (5),,7,Lakeshore,94132,POINT (-122.47602003201695 37.71524369021267),1368368501222
201501216220,2,new construction wood frame,01/21/2015,7331,229,159,,Summit,Wy,,,"type c - erect 4-story, type 5, 1 basement, 2 dwelling units building.",complete,12/22/2015,01/21/2015,04/10/2015,12/22/2015,,,,4,,,03/25/2018,800320,800320,,,2 family dwelling,2,2,,,,5,wood frame (5),,7,Lakeshore,94132,POINT (-122.47612318538548 37.7152493477178),1368370501226
201501216220,2,new construction wood frame,01/21/2015,7331,230,161,,Summit,Wy,,,"type c - erect 4-story, type 5, 1 basement, 2 dwelling units building.",complete,12/22/2015,01/21/2015,04/10/2015,12/22/2015,,,,4,,,03/25/2018,800320,800320,,,2 family dwelling,2,2,,,,5,wood frame (5),,7,Lakeshore,94132,POINT (-122.47612318538548 37.7152493477178),1368371501224
201501236483,2,new construction wood frame,01/23/2015,3639,001,2600,,Harrison,St,,,"to erect 4-story, no basement, type v-a, 20 units residential building.
** maher: compliance with ordinance no# 155-13 not required **",complete,09/19/2019,01/23/2015,12/29/2017,09/19/2019,,,,4,,,12/08/2021,4000000,5871283,,,apartments,20,2,,,,5,wood frame (5),,9,Mission,94110,POINT (-122.4124491067438 37.755346399211234),1368686163487
201501236565,2,new construction wood frame,01/23/2015,4884,025,2500,,Arelious Walker,Dr,,,"construct (n)  5-story, 122-residential units including affordable housing",complete,08/20/2019,01/23/2015,11/09/2015,08/20/2019,02/08/2016,,,5,,,10/08/2021,39000000,39000000,,,apartments,122,2,,,,5,wood frame (5),Y,10,Bayview Hunters Point,94124,POINT (-122.38483251438262 37.71945989765516),1368792466133
201501297021,2,new construction wood frame,01/29/2015,0829,042,522,,Hickory,St,,,construct (n) 3-story single family residential building.,expired,03/31/2022,01/29/2015,01/09/2017,,05/23/2017,,,3,,,12/25/2019,250000,770000,,,1 family dwelling,1,2,,,,5,wood frame (5),Y,5,Hayes Valley,94102,POINT (-122.42857376141555 37.77485612400099),1443785508029
201502047440,2,new construction wood frame,02/04/2015,7331,075,281,,Summit,Wy,,,erect a two story single family residential building.,complete,02/18/2016,02/04/2015,04/14/2015,02/18/2016,,,,2,,,03/29/2018,380800,380800,,,1 family dwelling,1,2,,,,5,wood frame (5),,7,Lakeshore,94132,POINT (-122.47627034322426 37.715034169816356),1369959498378
201502047426,2,new construction wood frame,02/04/2015,7331,175,176,,Summit,Wy,,,erect a three story two units residential building.,complete,04/04/2016,02/04/2015,04/14/2015,04/04/2016,,,,3,,,03/29/2018,702500,702500,,,2 family dwelling,2,2,,,,5,wood frame (5),,7,Lakeshore,94132,POINT (-122.47619765049602 37.715592110836596),1369930501179
201502047426,2,new construction wood frame,02/04/2015,7331,176,178,,Summit,Wy,,,erect a three story two units residential building.,complete,04/04/2016,02/04/2015,04/14/2015,04/04/2016,,,,3,,,03/29/2018,702500,702500,,,2 family dwelling,2,2,,,,5,wood frame (5),,7,Lakeshore,94132,POINT (-122.47619765049602 37.715592110836596),1369932501185
201502047437,2,new construction wood frame,02/04/2015,7331,179,186,,Summit,Wy,,,erect a three story two units residential building.,complete,03/28/2016,02/04/2015,04/14/2015,03/28/2016,,,,3,,,03/29/2018,702500,702500,,,2 family dwelling,2,2,,,,5,wood frame (5),,7,Lakeshore,94132,POINT (-122.47637898463269 37.71560497249696),1369943501186
201502047437,2,new construction wood frame,02/04/2015,7331,180,188,,Summit,Wy,,,erect a three story two units residential building.,complete,03/28/2016,02/04/2015,04/14/2015,03/28/2016,,,,3,,,03/29/2018,702500,702500,,,2 family dwelling,2,2,,,,5,wood frame (5),,7,Lakeshore,94132,POINT (-122.47637898463269 37.71560497249696),1369944501184
