,id,name,serviceProviderCode,hostId,logLevel,enabled,display,hostedACA,isForDemo,state,country,defaultAppActive,databaseType,iconName
479,8ebba70e-4203-4668-a1a4-361357ba8cbf,CRC-MTOM,CRC,0fca40f7-bef6-4c2b-abd4-95569fd5b69d,90,True,,,False,CA,US,True,1,
480,64b745a8-175d-48f7-a194-3615f42bcf0e,WATERTOWNNY,WATERTOWNNY,52f80df3-26db-462a-8c4c-125fdb29ce97,90,True,"Watertown, NY",True,False,NY,US,True,2,
490,c0f9076a-1cc5-4d6f-8de5-36d0fa169118,WHEELER_CO,WHEELER_CO,30a4a660-2bac-48c1-868d-98d6599cf1b6,90,True,Wheeler County,True,False,OR,US,True,1,logo.png
501,026077d0-12ec-47dd-8184-382a3a0f1c14,RENO,RENO,52f80df3-26db-462a-8c4c-125fdb29ce97,90,True,City of Reno,True,False,NV,US,True,2,
502,68964072-13b5-4ff7-9127-382abc7cd6f5,boco,boco,5ed6b934-ab88-4791-af0f-f72f53c0c85f,90,True,Boulder County,,False,CO,US,True,1,logo.png
513,9b218730-b55b-401d-bb41-3a11150269e4,RCID,RCID,f106fc89-3d36-45dd-b15c-2ee288aa54a7,90,True,Reedy Creek Improvement District,True,False,FL,US,True,1,logo.jpg
517,0d150b63-a249-4146-8507-3a76945c882b,BRAMPTON,BRAMPTON,98ec6cb5-bcc0-4d28-b3e6-654eee74b97a,90,True,BRAMPTON,,False,BC,CA,True,1,
526,0ad8aa80-e1cb-4e92-a82c-3b330a8abef0,ALAMEDA,ALAMEDA,52f80df3-26db-462a-8c4c-125fdb29ce97,90,True,,True,False,CA,US,True,2,logo.jpg
531,4ef7355d-ad09-4fef-80f7-3bacf1f0e8fc,AMERICUSGA,AMERICUSGA,52f80df3-26db-462a-8c4c-125fdb29ce97,90,True,"Americus, GA",True,False,GA,US,True,2,
535,e9ce2fde-66cc-4551-82a1-3bfeca428196,SLCREF-Fire,SLCREF,0ca41fb9-60c3-42b5-ae75-081903022e09,90,True,Salt Lake City Fire Department,True,False,UT,US,True,2,logo.png
536,02ef4027-47af-44ea-8bde-3c03ad5383a4,SONOMACO,SONOMACO,02d930c8-5431-461c-be2a-9096f22db7b0,90,True,"Sonoma County, CA",True,False,CA,US,True,1,logo.png
537,10093208-2cb0-45e6-97a2-3c086912f89d,LINN,LINN,52f80df3-26db-462a-8c4c-125fdb29ce97,90,True,Linn County,True,False,OR,US,True,2,
538,ebc302ff-0f87-4f26-af73-3c0ba3f81ade,LIVERMORE,LIVERMORE,52f80df3-26db-462a-8c4c-125fdb29ce97,90,True,LIVERMORE,True,False,CA,US,True,2,
548,ab4ab007-fe45-4b1e-8327-3cb05a6839b0,STDTEST2019-SAML,STDTEST2019,bce33295-76fd-40a1-a07c-ec5cce744c61,90,True,,,False,CA,US,True,2,
549,2c6e79f6-923e-4bd4-81fa-3cf48f62fa44,SHELBYCO,SHELBYCO,52f80df3-26db-462a-8c4c-125fdb29ce97,90,True,Shelby County,True,False,TN,US,True,2,
